store_id,latitude,longitude,store_location,province_id_original,district_id,ward_id,is_store_virtual,open_hour,province_id,province_name,ward_id,store_id
1489,10.781919,106.60487,"BHX 2 Đường 16 (2 đường số 16, P. Bình Hưng Hòa A, Q. Bình Tân (Cạnh trường Chấp Cánh Ước Mơ))",3,31,10315,False,6 giờ - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10315,1489
1521,10.761961,106.616615,"BHX 131 Chiến Lược (131 Chiến Lược, Khu Phố 16, P. Bình Trị Đông, Q. Bình Tân (Cách ngã 3 Chiến Lược - Trương Phước Phan 400m))",3,31,10317,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10317,1521
2453,10.843611,106.59542,"BHX 2/2 Phan Văn Hớn (2/2 Phan Văn Hớn, Ấp Tiền Lân, Bà Điểm, H. Hóc Môn)",3,32,10323,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10323,2453
2401,10.874418,106.57457,"BHX 27/10A Nguyễn Văn Bứa (27/10A Nguyễn Văn Bứa, Xã Xuân Thới Sơn, H. Hóc Môn)",3,32,10332,False,5 giờ - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10332,2401
2442,10.713388,106.59322,"BHX 225 Hưng Nhơn (225 Hưng Nhơn, ấp 3, Xã Tân Kiên, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam)",3,36,10384,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10384,2442
2643,10.892871,106.61226,"BHX 23/9A T.Thị Miếng (23/9A Trịnh Thị Miếng, ấp Thới Tứ, Xã Thới Tam Thôn, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam)",3,32,10329,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10329,2643
3390,10.99475,106.59089,BHX 149/30 Ấp Chợ (Trung An),3,34,10360,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10360,3390
3391,10.777311,106.76734,"BHX 323 Lê Văn Thịnh (319 – 323 Lê Văn Thịnh, khu phố 2, Phường Cát Lái, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam)",3,2087,27128,False,6 giờ - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,27128,3391
3393,10.704499,106.73168,"BHX 148 Phạm Hữu Lầu (150 Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Thành phố Hồ Chí Minh, Việt Nam)",3,22,10189,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10189,3393
3645,10.744023,106.71577,"BHX 122 Lâm Văn Bền (122 Lâm Văn Bền, Phuờng Tân Quy, Quận 7, Thành Phố Hồ Chí Minh, Việt Nam)",3,22,10195,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10195,3645
3320,10.932063,106.55318,"BHX 02 Giồng Cát (2 Giồng Cát, Tổ 1, Xã Tân Phú Trung, H. Củ Chi (Cách quốc lộ 22 - 20m))",3,34,10354,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10354,3320
3322,10.716455,106.62602,"BHX 61A Phú Định (61A đường Phú Định, Phường 16, Quận 8, Thành phố Hồ Chí Minh, Việt Nam)",3,23,10205,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10205,3322
3394,10.741379,106.70386,"BHX 343 Lê Văn Lương (343 Lê Văn Lương, P. Tân Quy, Q. 7 (Cách chung cư Hoàng Anh Gia Lai 1 100m))",3,22,10195,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10195,3394
3711,10.729666,106.58052,"BHX A2/22 Trần Đại Nghĩa (A2/22 Trần Đại Nghĩa, Ấp 4, Xã Tân Kiên, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam)",3,36,10384,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10384,3711
3324,10.830651,106.6198,"BHX 10/33 Khu phố 3 (Số 10/19 và 10/33, Khu phố 3, Phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh, Việt Nam)",3,27,10264,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10264,3324
3326,10.842208,106.67713,"BHX 390 Nguyễn Oanh (9A đường số 30, P. 6, Q. Gò Vấp (Cách cổng chào Đình An Nhơn (đối diện chợ An Nhơn) 50m))",3,29,10293,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10293,3326
2333,10.86431,106.56627,"BHX 35/1B Phan Văn Hớn (35/1B Phan Văn Hớn, ấp 1, Xã Xuân Thới Thượng, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam)",3,32,10333,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10333,2333
3342,10.840505,106.7318,"BHX 70 Hiệp Bình (70 Hiệp Bình, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam)",3,2087,27104,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,27104,3342
3399,10.756917,106.63177,"BHX 43A Tân Hòa Đông (43A Tân Hòa Đông, P. 14, Q. 6 (Đối diện chung cư 78))",3,21,10187,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10187,3399
3355,10.645278,106.73175,"BHX 532 Nguyễn Văn Tạo (532 Nguyễn Văn Tạo, ấp 2, xã Long Thới, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam)",3,35,10368,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10368,3355
3400,10.758432,106.58894,"BHX 20 Hồ Văn Long (20 - 22 Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, thành phố Hồ Chí Minh)",3,31,10320,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10320,3400
3365,10.867789,106.63562,"BHX 458 Đường TTH02 (458 Tân Thới Hiệp 02, Khu Phố 3, P. Tân Chánh Hiệp, Q. 12 (Ngay góc chợ Hạt Điều Đường Dương Thị Mười))",3,27,10263,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10263,3365
3369,10.810881,106.57484,"BHX F1/13 Vĩnh Lộc (F1/13 Vĩnh Lộc, Ấp 6, X. Vĩnh Lộc A, H. Bình Chánh (Đối diện chợ Vĩnh Lộc))",3,36,10387,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10387,3369
3370,10.676751,106.61722,"BHX F1/68 Hưng Long (F1/68 An Phú Tây - Hưng Long, Ấp 6, Xã Hưng Long, H. Bình Chánh)",3,36,10379,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10379,3370
4134,10.779069,106.67414,"BHX 97 Hòa Hưng (97 đường Hòa Hưng, Phường 12, Quận 10, thành phố Hồ Chí Minh, Việt Nam)",3,25,10238,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10238,4134
3418,10.789007,106.51579,"BHX 3A73/1 Ấp 3 Phạm Văn Hai (3A73/1 ấp 3, xã Phạm Văn Hai, huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam)",3,36,10381,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10381,3418
3371,10.77917,106.64687,"BHX 166A Trần Văn Quang (166A Trần Văn Quang, P. 10, Q. Tân Bình (Khúc cua chợ Trần Văn Quang))",3,30,10298,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10298,3371
4823,10.752113,106.6761,"BHX 10-12 Nhiêu Tâm (10 - 12 Nhiêu Tâm, P.5, Q.5, TP. HCM (Đối diện cổng chợ Hòa Bình))",3,20,10163,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10163,4823
